mode,frequency_GHz,node,real,imag
10,195.0,3,4.7692151818801844e-18,-1.8948524017066223e-18
11,214.5,3,-1.9638689771125693e-19,-1.5632100029587889e-18
12,233.99999999999994,3,9.289803579831578e-19,-2.06939810895238e-18
13,253.49999999999997,3,-8.575770610574311e-19,2.0761874684721e-18
14,272.99999999999994,3,1.8608137921474588e-18,2.421297854937428e-18
15,292.49999999999994,3,1.956483849920406e-20,-4.05111092363638e-20
16,311.99999999999994,3,2.3355059639611736e-18,2.4849448240062667e-20
0,0.0,4,1.0028884792636057,-3.4202741641540524e-9
1,19.499999999999996,4,0.007311312043370304,-2.029189958398975e-6
2,38.99999999999999,4,1.5734623471018467e-5,-1.0771947414550484e-8
3,58.499999999999986,4,1.6874833726561344e-7,-8.719083401530556e-11
4,77.99999999999999,4,3.076116929469891e-9,-5.700039409007417e-13
5,97.5,4,-4.850824061210546e-10,1.0683106936100287e-12
6,116.99999999999997,4,5.191922133460228e-12,-1.1664495809580281e-14
7,136.49999999999997,4,-2.1488907821379815e-14,4.179923353088645e-17
8,155.99999999999997,4,3.643485731876225e-17,-7.267882792471e-18
9,175.5,4,-1.195595885935288e-18,2.4522270248439723e-18
10,195.0,4,1.7059717107265432e-18,-5.231970726611772e-18
11,214.5,4,1.5268638219398118e-18,-2.5057358451442795e-18
12,233.99999999999994,4,1.6009588131379793e-18,1.971911572775966e-19
13,253.49999999999997,4,-1.1153320269584948e-18,2.1699579652489974e-18
14,272.99999999999994,4,-1.2355231659615435e-18,1.4644892255035563e-18
15,292.49999999999994,4,1.4839833932203502e-18,2.0424269694725327e-19
16,311.99999999999994,4,-9.692019831987024e-18,-2.2743317531836603e-20
0,0.0,5,0.2962337297685379,4.598740011138767e-14
1,19.499999999999996,5,0.0014897429605512725,1.5844328241339975e-7
2,38.99999999999999,5,3.683591906217443e-7,-1.1879089619764722e-10
3,58.499999999999986,5,2.0841433072928755e-9,-1.7478799236129952e-12
4,77.99999999999999,5,2.8189264566447865e-11,-1.5474164700268084e-14
5,97.5,5,-2.6408579997460024e-12,5.476025802197379e-15
6,116.99999999999997,5,1.0836849007831213e-14,1.1041096733122468e-18
7,136.49999999999997,5,-9.392853206225627e-17,1.5612398482653057e-20
8,155.99999999999997,5,2.217675445910601e-19,-3.783185194215993e-19
9,175.5,5,-2.507914398923973e-19,-1.2079013483264223e-19
10,195.0,5,-4.514634006909591e-19,-4.918290964599113e-19
11,214.5,5,2.5397491969039026e-19,-1.389100197500482e-19
12,233.99999999999994,5,9.90362192452446e-20,3.3405270850446835e-19
13,253.49999999999997,5,-3.7988251359752876e-20,1.381991250999512e-20
14,272.99999999999994,5,-4.563412898658667e-19,-1.410166973664832e-19
15,292.49999999999994,5,2.1582756707148695e-19,3.607267990972997e-20
16,311.99999999999994,5,-1.7726303533715823e-18,-7.019416124101597e-21
