mode,frequency_GHz,node,real,imag
1,33.75007,1,-2.416591480278661e-11,4.064650562090701e-12
0,33.950070000000004,1,-3.909809736354059e-14,1.5061248866697062e-12
8,37.20008,1,5.4075004706741794e-20,-5.0877349731909925e-20
7,37.400079999999996,1,2.6998083089778135e-21,3.718301714618614e-21
6,37.600080000000005,1,-1.0929252201547382e-20,-4.56644261082897e-20
5,37.80008,1,-5.652046593370098e-19,-2.9648691135644716e-19
4,38.000080000000004,1,-6.262858376975323e-18,1.782276037772329e-18
3,38.20008,1,-2.5548650927697254e-17,4.5905119056793245e-17
2,38.40008,1,8.407431337611161e-17,2.5461513683266767e-16
1,38.600080000000005,1,5.102259676684512e-16,7.807877591363606e-17
0,38.80008,1,-4.283364394688213e-15,-1.0891729227015335e-16
8,42.05009,1,5.420603066835503e-13,2.3686535073638524e-13
7,42.25009,1,1.42681572835286e-14,2.6066427140526715e-14
6,42.45009,1,-1.4690933914326845e-13,8.44846794975282e-14
5,42.650090000000006,1,1.0372606876595666e-13,-2.519403473818549e-13
4,42.85009,1,7.219362631762236e-14,2.840494022137428e-13
3,43.050090000000004,1,-1.5753428292050577e-13,-1.31275810411225e-13
2,43.25009,1,8.131386259821921e-14,7.82108297646082e-15
1,43.45009,1,-1.0095786483468534e-14,3.2278872077118874e-15
8,46.900099999999995,1,1.6217065751396306e-20,-1.4251509640332494e-20
7,47.1001,1,3.0121977067277845e-20,-5.05607173058835e-19
6,47.30010000000001,1,-5.705238368050764e-18,-6.767728492656944e-18
5,47.500099999999996,1,-1.3941220718587658e-16,-1.728015476575435e-17
4,47.700100000000006,1,-1.5506230335405647e-15,1.137130940249598e-15
3,47.9001,1,-3.632841643284558e-15,2.09684707323717e-14
2,48.100100000000005,1,9.26506986547023e-14,1.3058016686524121e-13
8,51.75011,1,1.559811138838547e-12,-2.606635062442388e-14
7,51.950109999999995,1,-6.519123414930718e-14,5.1759014392950113e-14
6,52.15011,1,5.508176575562918e-16,-3.0153215787860704e-15
5,52.350109999999994,1,5.4111279960184486e-17,-5.270510146927962e-16
4,52.550110000000004,1,2.7900412181426796e-16,3.929079526839945e-16
3,52.75011000000001,1,-2.1988587222007053e-16,-7.822905064988618e-17
8,56.60012,1,5.997384022815151e-19,-1.6233500752058288e-18
7,56.80012,1,-1.696702922970147e-17,-4.246547986939782e-17
6,57.000119999999995,1,-9.709680337931357e-16,-4.78071210121812e-16
5,57.20012,1,-2.1404904675626242e-14,6.225198664202672e-15
4,57.40012000000001,1,-1.99483765532914e-13,3.3271529064145453e-13
8,61.45013,1,2.764304662878903e-13,-9.380418134003671e-14
7,61.65013,1,-5.626776810919576e-15,7.441625334363744e-15
6,61.85013,1,1.368709546984356e-17,-2.538471651447854e-16
5,62.050129999999996,1,2.994582491915534e-18,4.559158559256944e-18
8,66.30014,1,-8.131898827970854e-18,-4.896705232263045e-17
7,66.50014,1,-1.2266166913211012e-15,-1.0230238286672358e-15
6,66.70014,1,-4.8915982437767535e-14,1.0178764411851571e-15
8,71.15015,1,-1.0040776233089102e-15,4.0863577327002324e-16
7,71.35015,1,2.526227525468956e-18,1.5339190669365788e-17
8,76.00016000000001,1,-4.5857879715385075e-17,-2.973021912183162e-17
1,-34.15007,2,1.1201690166556309e-12,1.1238406355153204e-12
2,-29.500060000000005,2,1.9257538047850112e-16,9.051134420319483e-17
1,-29.300060000000002,2,3.24602450062242e-18,-1.437250523793901e-17
3,-24.850050000000003,2,-1.2654470036030243e-11,3.197263711931018e-11
2,-24.650050000000004,2,1.5128947628322383e-10,3.640898703858822e-10
1,-24.45005,2,2.708902512485674e-9,1.1014248236224004e-9
4,-20.200040000000005,2,2.1393214855683654e-18,4.807836765034117e-18
3,-20.000040000000002,2,-1.861965188220581e-18,-1.400674791090708e-18
2,-19.800040000000003,2,4.189460159188619e-19,1.525202727237907e-19
1,-19.60004,2,4.7074191953157784e-20,-1.8964740035872985e-19
5,-15.550030000000005,2,-2.802252529959523e-11,6.244375511617814e-12
4,-15.350030000000002,2,-4.3349397907124654e-10,6.049593910862005e-10
3,-15.150030000000001,2,1.9979853964272512e-9,1.677628548187736e-8
2,-14.950030000000002,2,2.413958603451433e-7,2.0224717439122492e-7
1,-14.750030000000002,2,4.199076948093144e-6,-3.1326480853156464e-7
6,-10.900020000000003,2,-5.760647361691896e-18,2.4867671866933834e-17
5,-10.700020000000004,2,2.0293931133611942e-18,1.4461616575431937e-18
4,-10.500020000000001,2,1.4998709004958382e-19,-3.8076576186504184e-19
3,-10.30002,2,1.1277770781260868e-19,-2.4491160797151084e-19
2,-10.100020000000002,2,-1.224651340757656e-19,-2.1573772279742918e-19
1,-9.900020000000001,2,2.0325525363524144e-20,3.044865748584551e-19
7,-6.250010000000006,2,-7.883727749304791e-13,-4.743483287779605e-13
6,-6.050010000000002,2,-4.2390734542705134e-11,6.702103539696308e-12
5,-5.850010000000003,2,-1.3025121470034151e-9,1.4863111876254233e-9
4,-5.650010000000001,2,-2.1964402816990545e-9,8.79429052200327e-8
3,-5.450010000000002,2,2.343919230180796e-6,2.9099188753650494e-6
2,-5.2500100000000005,2,0.0001439751550936428,2.8482368190755387e-5
1,-5.050010000000001,2,0.004454684766031237,-0.0028326289650092407
7,-1.400000000000005,2,-6.666936757097724e-17,-5.579208548537833e-16
6,-1.2000000000000008,2,4.99802391300874e-18,-4.898385472421566e-18
5,-1.0000000000000016,2,2.32379132231373e-18,-4.324999264831365e-19
4,-0.8000000000000022,2,1.2652953944936191e-18,-5.157643756895163e-19
3,-0.6000000000000004,2,-2.4190956533670924e-18,1.9504268487835827e-19
2,-0.4000000000000011,2,-2.257598740991672e-19,-8.053208963890778e-20
1,-0.20000000000000054,2,2.9163913439442166e-19,8.844658117218732e-18
7,3.450009999999996,2,-1.3853183288588478e-11,1.1646173497984446e-11
6,3.65001,2,2.639550534737654e-10,-8.276200945640409e-10
5,3.850009999999997,2,1.030250128575952e-8,4.018814362953386e-8
4,4.0500099999999986,2,-1.407091839093661e-6,-1.3066954327905986e-6
3,4.25001,2,8.148091316137865e-5,1.5507195372231816e-5
2,4.450009999999999,2,-0.0032770636095170633,0.0015443678323551052
1,4.65001,2,0.03649083641430072,-0.08356423547879101
0,4.85001,2,0.027416751740556616,0.11551271657037133
7,8.300019999999996,2,1.2017806255928212e-16,6.335037295328207e-17
6,8.50002,2,3.8605315503378e-18,-4.763128454523814e-19
5,8.700019999999999,2,9.921326724135953e-19,-1.1396232230204965e-18
4,8.900019999999998,2,-7.888836515207348e-20,-3.520540947751541e-20
3,9.100019999999999,2,-2.4135712738871354e-19,-8.06755622131523e-20
2,9.30002,2,-5.186494821399111e-19,5.091180942026529e-19
1,9.500020000000001,2,-4.372675786204948e-19,-3.101907527932911e-18
0,9.70002,2,-1.0819238011467786e-18,9.136071957020256e-19
7,13.150029999999996,2,-1.5672917224464102e-10,1.733853200613458e-10
6,13.35003,2,6.798729376715493e-10,-6.058266614367186e-9
5,13.550029999999996,2,6.890540151940429e-8,1.1572203280405316e-7
4,13.750029999999999,2,-2.1092460576422138e-6,-7.719201292683998e-7
3,13.95003,2,2.076834671554605e-5,-7.721654633430664e-6
2,14.15003,2,-3.552006081713815e-5,5.7205246936504006e-5
1,14.350030000000002,2,-6.913391079484851e-6,-7.78534276884052e-5
0,14.550030000000001,2,1.763596175835258e-5,2.0670808570658355e-5
7,18.000039999999995,2,6.4504851268488995e-19,6.402195611843139e-20
6,18.200039999999998,2,2.3324511863152636e-20,-8.602634072936041e-20
5,18.400039999999997,2,2.2862306976212907e-19,-5.1470307245445997e-20
4,18.60004,2,1.4885988515035938e-19,-5.212283999474138e-20
3,18.800040000000003,2,-3.427413482188961e-20,7.784978600630869e-20
2,19.000040000000002,2,1.192604614706209e-20,-1.0784276601022478e-19
1,19.20004,2,-1.0839442697677683e-19,-8.899163083023494e-21
0,19.40004,2,9.790578044089462e-20,-2.1885476819369067e-19
7,22.850049999999996,2,-3.865583519021494e-11,1.3758689941042493e-10
6,23.05005,2,-6.477539968924585e-10,-1.4734164530374483e-9
5,23.250049999999998,2,1.0637790061422728e-8,5.303920984820299e-9
4,23.450049999999997,2,-4.521795991252098e-8,9.477315681676744e-9
3,23.650050000000004,2,6.280018079584865e-8,-7.303303313324148e-8
2,23.850050000000003,2,-7.23144523107839e-9,1.0736855169858841e-7
1,24.050050000000002,2,-3.020763873518487e-8,-4.842153169868418e-8
0,24.25005,2,5.860497995957729e-9,3.448259320386564e-9
7,27.700059999999997,2,-2.923269775345155e-20,-7.547911618744056e-20
6,27.90006,2,3.4715668146015996e-20,1.493542948761359e-20
5,28.10006,2,1.6263665578204515e-20,-3.18930215217439e-20
4,28.30006,2,-7.387200173894878e-20,-2.4570898969479883e-22
3,28.500059999999998,2,-1.8224248890354245e-19,-1.0466099533801679e-20
2,28.700060000000004,2,-3.2262231411109496e-19,4.319324543657046e-19
1,28.900060000000003,2,8.426407122410563e-19,-7.440886007033923e-19
0,29.100060000000003,2,-6.51572193548279e-18,-1.159121422126321e-17
7,32.55007,2,2.3924632276672333e-12,8.12598765149379e-12
6,32.75007,2,-2.96078613551836e-11,-2.0711787342589387e-11
5,32.950070000000004,2,9.83440847575445e-11,-4.968974797584439e-12
4,33.15007,2,-1.309855389889935e-10,1.1069885388640563e-10
3,33.35007,2,4.2117760818345495e-11,-1.8221004286914444e-10
2,33.55007,2,4.617619829381269e-11,1.0901759801516173e-10
